protein,data,mdl,term,estimate,std.error,statistic,p.value,conf.low,conf.high,identified_as
NP_958782,,,log2_expr_level,-0.05319067756637476,0.137266844775456,-0.38749836242965435,0.6994848110336378,-0.3222287495977184,0.21584739446496895,insignificant
NP_958785,,,log2_expr_level,-0.050914762734444584,0.1368007900496486,-0.3721817886867925,0.7108070815136915,-0.3190393842883813,0.21720985881949215,insignificant
NP_958786,,,log2_expr_level,-0.04965698510028745,0.13686150856693047,-0.3628265216439822,0.7177550077993282,-0.31790061276129117,0.21858664256071664,insignificant
NP_000436,,,log2_expr_level,-0.05227841167134907,0.13705173646332783,-0.3814501955277136,0.7039477492754906,-0.3208948791581463,0.2163380558154482,insignificant
NP_958781,,,log2_expr_level,-0.051809559055711565,0.13676669663710067,-0.3788170682602946,0.7058939978004868,-0.3198673587489442,0.21624824063752074,insignificant
NP_958780,,,log2_expr_level,-0.051303910792078036,0.13688319775644198,-0.3748006448780057,0.7088664748237219,-0.3195900484833782,0.2169822268992219,insignificant
NP_958783,,,log2_expr_level,-0.05109601700188443,0.13673516930308127,-0.3736859892177937,0.7096922145361264,-0.31909202425591054,0.21689999025214135,insignificant
NP_958784,,,log2_expr_level,-0.05113104800209612,0.13672257193989318,-0.37397663953084986,0.7094768664819737,-0.31910236487797317,0.2168402688737813,insignificant
NP_112598,,,log2_expr_level,0.03862807981402993,0.06491950414882046,0.5950150162188473,0.5536244813465682,-0.08861181021185682,0.16586796983991647,insignificant
NP_001611,,,log2_expr_level,-0.3579818534876946,0.07885987034681005,-4.539467943750878,2.109103507827512e-5,-0.5125443591929402,-0.20341934778244844,significant
NP_076965,,,log2_expr_level,-0.23279100007385767,0.08529099506352779,-2.7293737152493835,0.007902196062298673,-0.39995827860395544,-0.06562372154375984,significant
NP_001367,,,log2_expr_level,0.27226157120323546,0.15911638561670174,1.7110844376461085,0.09119873732342362,-0.03960081395568696,0.5841239563621582,insignificant
NP_036222,,,log2_expr_level,0.020091158253093596,0.12514729756310963,0.160540088713957,0.8728872709166875,-0.22519303773311838,0.2653753542393056,insignificant
NP_001138241,,,log2_expr_level,0.052263642823402706,0.10182468506252107,0.5132708516732702,0.6092705546436619,-0.14730907263627246,0.2518363582830777,insignificant
NP_001714,,,log2_expr_level,-0.012764163271033871,0.07361026936641217,-0.1734019367256665,0.8628026543863372,-0.15703764012149357,0.1315093135794258,insignificant
