proteome,data,mdl,term,estimate,std.error,statistic,p.value,conf.low,conf.high,identified_as
NP_958782,,,expr_level,-0.03618264549261043,0.2834471992776046,-0.1276521538573172,0.8984242559018862,-0.6063459026156705,0.5187266582297103,insignificant
NP_958785,,,expr_level,-0.03358638018829564,0.28241532556340737,-0.11892548721034224,0.9053343891806342,-0.6016214643882395,0.5193899662212902,insignificant
NP_958786,,,expr_level,-0.03153029209168767,0.2824860824225903,-0.11161715232582448,0.9111269714194972,-0.5996465708648818,0.5216636793197198,insignificant
NP_000436,,,expr_level,-0.03722443674525677,0.2830448005522631,-0.13151429269368764,0.8953684808402348,-0.6068895191747702,0.5166308083125529,insignificant
NP_958781,,,expr_level,-0.0351618438230517,0.2823905742547896,-0.12451493438065887,0.9009075764725173,-0.603238577193672,0.5176662772910697,insignificant
NP_958780,,,expr_level,-0.03325230835366292,0.2825784002219931,-0.1176746288022721,0.9063254703646435,-0.6015653049553515,0.5200916147219034,insignificant
NP_958783,,,expr_level,-0.03398779761199817,0.2822955963997548,-0.12039790221831348,0.9041679531024079,-0.6018517552665494,0.518687222806499,insignificant
NP_958784,,,expr_level,-0.03410255741595753,0.2822724618876857,-0.12081432665410595,0.9038381022000609,-0.6019246029253449,0.5185213625161145,insignificant
NP_112598,,,expr_level,-0.015455289742856874,0.13440811140252187,-0.11498777552622386,0.908454811486386,-0.2883504686907495,0.24543082119011742,insignificant
NP_001611,,,expr_level,-0.9228926731711272,0.24297702134171237,-3.798271408855617,1.457087232688279e-4,-1.4481097550646524,-0.4834641238789171,significant
NP_076965,,,expr_level,-0.6066266896397261,0.21284367151014164,-2.850104423287123,0.004370487769614186,-1.0568764209221913,-0.21231737812879967,significant
NP_001367,,,expr_level,0.7623925529722524,0.35934154733719015,2.12163764146331,0.03386817888749879,0.08321644104954685,1.5085054920348215,significant
NP_036222,,,expr_level,0.41627990852421554,0.26320382150132665,1.581587631021981,0.11374373951663126,-0.09089250715272486,0.9542324887992045,insignificant
NP_001138241,,,expr_level,0.38453773057516755,0.21374631670268307,1.79903792732977,0.0720126813925513,-0.01859160552473379,0.8413876128256323,insignificant
NP_001714,,,expr_level,0.23625128499653011,0.15236963279173824,1.5505142374362937,0.12101813894434231,-0.057361274266809176,0.5547129628893049,insignificant
NP_002464,,,expr_level,0.700420793088146,0.30658967600061005,2.2845543993032313,0.02233896937564694,0.13273630052239704,1.35259501736989,significant
NP_001073936,,,expr_level,-0.09930632894804017,0.1782287967457673,-0.5571845333708598,0.5774013559426586,-0.4646619217626526,0.2429941611276147,insignificant
NP_061198,,,expr_level,-0.8810559464693,0.3061051565887213,-2.8782786813783563,0.003998517376184421,-1.5531694110788636,-0.33850568071289533,significant
