proteome,data,mdl,term,estimate,std.error,statistic,p.value,conf.low,conf.high,identified_as
NP_958782,,,expr_level,0.08337909478864626,0.3282442327145335,0.2540154143733552,0.7994836496391665,-0.5744118471855666,0.7299931211865207,insignificant
NP_958785,,,expr_level,0.08741059012016449,0.3270167720945819,0.2672969632728288,0.7892405246925889,-0.5677855651556595,0.7317424753074693,insignificant
NP_958786,,,expr_level,0.08867951744493373,0.32711649460440045,0.27109460668493235,0.7863182695587825,-0.5667117795211369,0.7332258665906414,insignificant
NP_000436,,,expr_level,0.08304981280635554,0.32763295832995787,0.25348430521057774,0.7998939878484796,-0.5739209709568771,0.7280285223037254,insignificant
NP_958781,,,expr_level,0.08530232715758114,0.32697081871305356,0.2608866671751574,0.7941799069492609,-0.5699402827904136,0.7294032926622206,insignificant
NP_958780,,,expr_level,0.08371477529672038,0.3272848479321418,0.2557856736284887,0.7981163367906545,-0.5721529521416685,0.728402588386075,insignificant
NP_958783,,,expr_level,0.08614763696361552,0.3268632388641121,0.2635586591596798,0.7921200176077292,-0.5688878445798339,0.7300349506463922,insignificant
NP_958784,,,expr_level,0.08631693349734121,0.3268314673845067,0.2641022732238696,0.7917011122856729,-0.5686448899737823,0.7301548242649709,insignificant
NP_112598,,,expr_level,0.15616155340542207,0.15304944745882854,1.0203339900814128,0.30757008828638854,-0.14760302458235988,0.46217526688401245,insignificant
NP_001611,,,expr_level,0.07122755236774246,0.21645938718447202,0.32905735017645865,0.7421123402909071,-0.34697784922250213,0.5147300517393384,insignificant
NP_076965,,,expr_level,0.14716165993533178,0.21970768169786592,0.6698066212254845,0.502981072170581,-0.2759227232819532,0.5981352365326482,insignificant
NP_001367,,,expr_level,0.17290744051126697,0.38858571865409813,0.44496601962148163,0.6563443108800294,-0.5958945947231203,0.9440356193091883,insignificant
NP_036222,,,expr_level,-0.7736692775154901,0.36385360744473283,-2.1263202059443804,0.033476606723273857,-1.5584254590566466,-0.11070746031641322,significant
NP_001138241,,,expr_level,-0.43065681989798693,0.3021301445521951,-1.4254016941483572,0.1540411186324812,-1.0717611983208513,0.11228465224074455,insignificant
NP_001714,,,expr_level,-0.43264780633784145,0.21846268591204646,-1.980419697449048,0.0476563884312379,-0.9044527177074088,-0.034386706682177325,significant
NP_002464,,,expr_level,0.21726678469626193,0.3155626319964807,0.6885060608148463,0.4911341549305726,-0.40046815723043244,0.8514839105576032,insignificant
NP_001073936,,,expr_level,0.1262449073824846,0.19957895230670283,0.6325562185960261,0.5270234851984413,-0.274210443788821,0.5197217381164613,insignificant
NP_061198,,,expr_level,-0.3548637548517843,0.27578419109277896,-1.2867443686516515,0.1981834029013512,-0.9424807556545134,0.15400909012980413,insignificant
NP_001074248,,,expr_level,-0.10984456833656066,0.22025682260796847,-0.4987113090797247,0.6179827763851029,-0.5746165530247617,0.3022783348719662,insignificant
NP_001074419,,,expr_level,-0.1121062292320947,0.21991954353318988,-0.5097601942556589,0.6102194760767343,-0.5764194516488151,0.2990992670788193,insignificant
NP_056009,,,expr_level,0.024375743318103164,0.27099822755860214,0.08994798061117215,0.9283285526364072,-0.5086036556195046,0.5680273750414345,insignificant
NP_036355,,,expr_level,0.536336836470913,0.273069961930292,1.9641004549882588,0.04951844347512106,0.020000526566095432,1.1070681968420069,significant
NP_001155291,,,expr_level,0.5301188131545292,0.27284481359049473,1.9429316107513408,0.05202442196492133,0.013639478520511672,1.0997267074973978,insignificant
NP_002462,,,expr_level,-0.41639020865798376,0.17848321317973276,-2.332937654134893,0.019651417750968864,-0.7904905237571932,-0.07918593925218506,significant
NP_000248,,,expr_level,-0.3975834519651461,0.21113384169344987,-1.883087281395688,0.05968854055597643,-0.8391980836563542,0.0013255652382157422,insignificant
NP_036467,,,expr_level,0.02737710802787704,0.24314507191428783,0.11259577589764135,0.910351034099164,-0.46924748441223313,0.49812440671705127,insignificant
NP_004989,,,expr_level,0.12547196439255165,0.2937456781003985,0.4271448867059312,0.6692738008556423,-0.4429790187557717,0.7220621702728005,insignificant
NP_001243024,,,expr_level,-0.155057493011379,0.3058297384964032,-0.5070059366159468,0.6121506531303893,-0.7784941106370263,0.43447912973348296,insignificant
NP_149043,,,expr_level,0.1966986050154977,0.2284100217735729,0.8611645123456478,0.3891474422743941,-0.25755931459858755,0.6531995501843275,insignificant
NP_002461,,,expr_level,-0.48214247629849627,0.23414044720772864,-2.059201996273378,0.039474892027638916,-0.9669789899076785,-0.03360835316529343,significant
NP_060003,,,expr_level,-0.36460069647398,0.2191818468720608,-1.6634621054489154,0.09621997023376297,-0.8158765971690906,0.05607287255759711,insignificant
NP_003793,,,expr_level,-0.3803405964755249,0.23633644182035998,-1.6093184510437153,0.10754672658054217,-0.8618283893635235,0.07922834145093646,insignificant
NP_060004,,,expr_level,-0.2796332335161045,0.22824317769428012,-1.2251548385409297,0.22051688655849055,-0.7412439961237796,0.16728611915542874,insignificant
NP_005954,,,expr_level,-0.38754543658420154,0.22037142177467373,-1.7586011537397104,0.07864527689190144,-0.8441954132854791,0.03292288367344593,insignificant
NP_002463,,,expr_level,-0.3649537593483461,0.2182364389127227,-1.6722860818595868,0.09446792284510284,-0.8135101350403448,0.055383102259295214,insignificant
NP_689914,,,expr_level,-0.25608812366532757,0.2828827830269769,-0.9052799923878928,0.36531707316083833,-0.8290439167988995,0.32960594833203916,insignificant
NP_001242941,,,expr_level,-0.16177000032452368,0.3064405923014781,-0.5279000380125013,0.5975687183307586,-0.7862788981336866,0.42912918568636405,insignificant
NP_065935,,,expr_level,-0.34773697620563054,0.20641858258674076,-1.6846205019332758,0.09206181323315377,-0.7679450743080147,0.05523885823964324,insignificant
NP_008974,,,expr_level,0.1640021210647318,0.33554823838070735,0.48875870085378836,0.6250125397797075,-0.4794444051874194,0.8532977444591818,insignificant
NP_001242970,,,expr_level,0.6231149222349783,0.3004963700909331,2.0736187996095183,0.038114727832271614,0.06381987495181365,1.2586099738921046,significant
NP_002465,,,expr_level,-0.2875327150237235,0.18898521988234918,-1.5214560969515187,0.12814542066270734,-0.7070902163991116,0.03388536142616886,insignificant
NP_005955,,,expr_level,-0.1530028378352633,0.3059840756956547,-0.5000352959133948,0.6170502247367139,-0.7769932138727382,0.43664691183177223,insignificant
NP_001035202,,,expr_level,-0.28698668408217515,0.18995655752281307,-1.5108016686800039,0.1308389894496825,-0.7088872230943835,0.03567302181073815,insignificant
NP_001070654,,,expr_level,-0.38068793261045286,0.20704140053890635,-1.8387043925493325,0.06595867699777412,-0.8200988244324848,0.00845165389713274,insignificant
NP_079005,,,expr_level,-0.3810700655351868,0.20691489461701343,-1.8416753720921044,0.06552264871356181,-0.8202022747862939,0.007736420100298947,insignificant
NP_000250,,,expr_level,-0.16827283891561756,0.3551055844639673,-0.473867058918901,0.6355947109009241,-0.8724264786927897,0.5389641347545695,insignificant
NP_878918,,,expr_level,0.5007881522236818,0.31471418582888977,1.5912474707954871,0.11155389338259075,-0.10311483463473528,1.149840452812857,insignificant
NP_892006,,,expr_level,-0.6228391212577767,0.31491975109081694,-1.9777709054461994,0.047954557109561854,-1.2760944905016096,-0.014530127467892277,significant
NP_149062,,,expr_level,-0.6351434288004173,0.3166610235323362,-2.0057518342972163,0.04488273187719982,-1.2938030778132408,-0.025122306146107116,significant
NP_003118,,,expr_level,-0.4764642971836884,0.3979549617947921,-1.1972819613426005,0.23119667293593932,-1.331367200547631,0.2500923602102231,insignificant
NP_001123910,,,expr_level,-0.47849579550192695,0.39822490123442367,-1.2015717601251914,0.2295294882041036,-1.3341204187328528,0.24837225364431922,insignificant
NP_001182461,,,expr_level,-0.4609688783649506,0.39491990775727226,-1.1672464955812603,0.24311083901781858,-1.308116496532655,0.2612933685035677,insignificant
NP_001243000,,,expr_level,-0.018222282033320148,0.21750863604741263,-0.08377728059196715,0.9332335119654465,-0.49638077683757503,0.3772048456136686,insignificant
NP_004406,,,expr_level,-0.2994964262289988,0.21211661717635188,-1.4119423089799708,0.15796694870154146,-0.7562987134621774,0.08236856069853665,insignificant
NP_689916,,,expr_level,0.10780150593781042,0.23638261309315198,0.4560466801140267,0.6483564110539037,-0.3659453836237249,0.574330363636959,insignificant
NP_060124,,,expr_level,-0.21548120366148055,0.23442569250342543,-0.919187659681679,0.35799742464404605,-0.6986129174096098,0.23184472561234912,insignificant
NP_008835,,,expr_level,-0.050981274618787195,0.31283471109837413,-0.16296553039076153,0.8705455745717983,-0.6535709032278898,0.5931253481740584,insignificant
NP_000375,,,expr_level,0.13652064790064658,0.16927672503424485,0.8064939103295407,0.4199581179081898,-0.19558076874258,0.47713692799726015,insignificant
NP_001447,,,expr_level,-0.050322469585353156,0.2134650533212674,-0.23574102084811632,0.8136336367814863,-0.4819667550372448,0.36300061110332377,insignificant
NP_001157789,,,expr_level,-0.519197534968331,0.22277399530486403,-2.3306020716547917,0.019774352153979984,-0.9988501982322683,-0.10982350040204865,significant
NP_001448,,,expr_level,-0.5183536862366634,0.22238723669482943,-2.3308607721403254,0.019760702350216635,-0.9968691901328861,-0.10946424997123752,significant
NP_001449,,,expr_level,-0.15283566357968134,0.24827013273025178,-0.6156022953664707,0.5381570359748615,-0.6727312306552624,0.3086695491080677,insignificant
NP_001120959,,,expr_level,-0.15279132971803674,0.24845509304185578,-0.6149655772695184,0.5385774535674449,-0.6729602629219894,0.3090992165166892,insignificant
NP_003119,,,expr_level,-0.6523033686523567,0.38538235474899385,-1.692613480129917,0.09052906349712483,-1.4974322845143482,0.03541745650575333,insignificant
NP_842565,,,expr_level,-0.6670109569333887,0.3863803536548986,-1.7263066059749497,0.08429226755165903,-1.5138519841307396,0.02177102344465345,insignificant
NP_001020029,,,expr_level,-0.3147582609462689,0.20376951686481204,-1.5446778585390215,0.12242420309144246,-0.7801838796186773,0.028217992633390344,insignificant
