NP_065871,NP_004694,NP_001077054,NP_001240628,NP_055945,NP_061161,NP_079093,NP_005535,NP_000421,NP_542775,NP_038460,NP_001600,NP_001531,NP_000116,NP_005317,NP_001161067,NP_115910,NP_056982,NP_001002913,NP_057107,NP_065177,NP_115527,NP_001096034,NP_006510,PAM50 mRNA
-2.277451314,-3.618285087,-3.552161777,-0.9917203,-3.912166462,-2.248063177,-5.072997892,-4.114209907,1.054428772,-4.65789045,0.96626436,-4.419111833,-2.486841794,-4.937077756,-1.465604017,-1.079884712,-0.837432578,-0.282731483,-0.069667486,1.050755255,-1.51335974,-1.645606359,-1.862343872,0.687077054,Basal-like
-0.333229681,-2.072828249,-1.992539084,0.479698111,-2.136390504,-1.22979202,-2.330422652,-1.002306053,0.258902908,-3.036298225,1.827887001,-4.063330456,-3.9997682,-5.214141816,-0.69118554,-2.601398583,-1.674727807,-0.497153392,-1.259900456,-1.527531005,-0.734675504,-1.761707736,-0.607550994,0.436208147,Basal-like
-2.455125886,-2.903318535,-2.91594368,-0.062660902,-2.660284493,-2.076371535,-2.94119397,-2.559283333,0.773754957,-1.915400936,1.518638515,-4.288928203,-3.256822596,-3.74289068,-1.792305772,-3.307323176,-1.830181207,-1.350425695,-1.176829951,1.414481068,-2.215248131,-1.798618344,-0.48560326,0.420250896,Basal-like
-2.053173097,-1.879665557,-1.915812961,-0.983209935,-2.158000569,-0.679571741,-3.354479645,-0.838620319,1.131413206,-1.662781133,0.086753227,-5.94263378,-0.227729189,-3.065300412,0.28917869,-2.16523005,-4.518426058,-1.294077611,-0.509678941,-0.892841425,-1.066348965,-1.623018988,0.227728103,1.25431438,Basal-like
-0.879679336,-0.09767493,-0.032743157,0.156405923,-0.080736207,-0.337640181,2.389494315,-0.306585855,1.344939694,0.051950461,0.210045215,-0.52396614,1.898271331,0.125351597,1.412694588,0.170521526,-0.422333799,0.003957411,0.060419823,-0.159783584,1.61031303,-0.679237773,0.969464655,0.037834858,Basal-like
-0.921673249,-0.497484671,-0.4218186,-0.715311238,-0.889572491,0.325670462,0.073450226,0.068864404,1.316208114,-1.735656736,-2.249268852,-2.285955432,-0.408061133,-1.792979517,0.550375762,-0.800148953,-2.377671881,-0.013680401,-0.009094578,0.048228203,1.800012384,0.252297302,0.149116297,0.54578994,Basal-like
-2.6501065600000002,-3.255513965,-3.278798865,-0.69084853,-1.612265295,-1.409354022,-4.0538534,-2.606863174,1.008949183,-3.504995038,1.165290656,-3.874227027,-3.69127424,-4.153645829,-1.033469205,-2.96611592,-2.174429313,-0.654257973,-2.437216044,1.231818942,-1.010184304,-2.314138715,-1.612265295,0.25052672,Basal-like
-2.052021663,-1.655786666,-1.208905091,-2.168210872,-2.740219288,-0.288329047,-1.134424829,-0.899067199,0.673955945,-2.522736921,-0.636896675,-3.029202706,-2.111605873,-4.319200853,-0.282370626,-2.022229558,-1.62003614,-0.54454115,-1.119528776,-0.055950628,0.748436207,-0.416435098,-1.405532984,-0.330037994,Basal-like
-2.310769127,-1.927722296,-1.808412627,-1.13337108,-2.376703418,0.222991471,-2.882199646,-1.955979849,0.741046612,-1.883766102,-0.536822736,-4.178907362,-1.670264589,-4.003082587,0.009489958,-1.620028939,-1.544675464,-0.49600627,-0.210291011,1.764597981,0.602898574,0.034607783,-1.064297061,0.373698421,Basal-like
-2.302409096,-1.935479349,-1.878839186,-1.004610594,-2.164502614,-2.016745669,-3.893258872,-1.174531081,0.061702027,-1.649815921,0.926080156,-2.378750184,-4.32914186,-2.861422872,-0.856853649,-1.58086268,-0.438208971,0.103566495,-0.765736866,0.862052146,-0.755886403,-1.861600876,0.199608509,0.322739297,Basal-like
-3.112048166,-3.006130297,-2.70823629,-0.980451053,-1.698706602,-1.414052329,-1.198906658,-0.953971586,0.019148835,-1.245245726,0.823462652,-4.065308986,0.383241509,-6.332613368,-1.083058989,-0.258885571,-0.702416647,0.419650777,0.730784517,-1.655677468,-2.24153568,-0.35487364,-2.148857545,1.750244005,Basal-like
-3.569555156,-0.831058298,-0.9696876,0.209797769,-0.858329636,-1.51511436,0.062078021,0.16661815,-0.933325816,-1.019685053,-0.203817524,0.448421976,-1.785555128,-4.146798477,-0.494711796,-1.185585692,0.164345539,-0.871965305,1.321104792,0.027988849,-0.7128825,-1.556021367,-1.356031555,1.314286958,Basal-like
-0.61617276,-2.623448822,-2.674532195,-0.339721566,-1.364393927,-1.568727418,-1.917296315,-2.776698941,-0.192481256,-2.055521912,-0.276618576,-1.947345358,-0.544055057,-4.149940199,-0.565089387,-2.007443444,-1.601781365,-0.240559724,-1.307300745,0.201161206,-1.187104574,-0.96173675300000006,0.065940513,1.394108207,Basal-like
-1.542240542,-1.852642344,-1.980851784,-1.79528549,-1.47476189,-0.317502998,-3.897245518,-1.535492677,0.890364884,-1.461266159,0.208830492,-3.512617198,-2.935674718,-3.701557425,-1.252082336,-0.698757385,-5.128730928,0.573215216,-1.339804585,-1.036150648,-0.631278732,-1.309439191,0.725042185,0.806016568,Basal-like
